,Unnamed: 0,Speed,Stimulation,Reaction_time
0,0,Fast,Control,2.18
1,1,Fast,Control,2.54
2,2,Fast,Control,1.56
3,3,Fast,Control,2.86
4,4,Fast,Control,4.36
5,5,Fast,Control,1.52
6,6,Fast,Control,3.6
7,7,Fast,Control,2.3
8,8,Fast,Control,3.38
9,9,Fast,Control,5.08
10,10,Slow,Control,2.28
11,11,Slow,Control,1.7
12,12,Slow,Control,0.72
13,13,Slow,Control,0.76
14,14,Slow,Control,2.08
15,15,Slow,Control,1.0
16,16,Slow,Control,1.34
17,17,Slow,Control,0.86
18,18,Slow,Control,1.3
19,19,Slow,Control,1.36
20,20,Fast,FES,5.46
21,21,Fast,FES,4.66
22,22,Fast,FES,2.56
23,23,Fast,FES,5.2
24,24,Fast,FES,2.4
25,25,Fast,FES,2.8
26,26,Fast,FES,2.18
27,27,Fast,FES,3.96
28,28,Fast,FES,3.9
29,29,Fast,FES,4.9
30,30,Slow,FES,1.48
31,31,Slow,FES,1.94
32,32,Slow,FES,5.32
33,33,Slow,FES,4.7
34,34,Slow,FES,8.14
35,35,Slow,FES,2.96
36,36,Slow,FES,2.74
37,37,Slow,FES,10.42
38,38,Slow,FES,1.82
39,39,Slow,FES,1.68
0,0,Fast,Control,1.82
1,1,Fast,Control,3.86
2,2,Fast,Control,8.9
3,3,Fast,Control,2.86
4,4,Fast,Control,1.32
5,5,Fast,Control,7.44
6,6,Fast,Control,4.74
7,7,Fast,Control,1.82
8,8,Fast,Control,2.54
9,9,Fast,Control,2.64
10,10,Slow,Control,1.74
11,11,Slow,Control,0.7
12,12,Slow,Control,0.88
13,13,Slow,Control,0.88
14,14,Slow,Control,2.18
15,15,Slow,Control,1.0
16,16,Slow,Control,3.78
17,17,Slow,Control,0.8
18,18,Slow,Control,1.14
19,19,Slow,Control,1.0
20,20,Fast,FES,2.82
21,21,Fast,FES,2.72
22,22,Fast,FES,2.36
23,23,Fast,FES,3.34
24,24,Fast,FES,3.5
25,25,Fast,FES,1.86
26,26,Fast,FES,2.18
27,27,Fast,FES,1.8
28,28,Fast,FES,2.3
29,29,Fast,FES,2.58
30,30,Slow,FES,3.36
31,31,Slow,FES,4.1
32,32,Slow,FES,2.6
33,33,Slow,FES,2.28
34,34,Slow,FES,5.6
35,35,Slow,FES,3.04
36,36,Slow,FES,2.04
37,37,Slow,FES,3.06
38,38,Slow,FES,3.14
39,39,Slow,FES,2.48
0,0,Fast,Control,3.88
1,1,Fast,Control,4.6
2,2,Fast,Control,2.56
3,3,Fast,Control,3.28
4,4,Fast,Control,3.46
5,5,Fast,Control,3.32
6,6,Fast,Control,2.34
7,7,Fast,Control,1.76
8,8,Fast,Control,1.7
9,9,Fast,Control,3.7
10,10,Slow,Control,6.24
11,11,Slow,Control,9.72
12,12,Slow,Control,2.42
13,13,Slow,Control,2.74
14,14,Slow,Control,3.64
15,15,Slow,Control,2.84
16,16,Slow,Control,2.26
17,17,Slow,Control,2.0
18,18,Slow,Control,2.42
19,19,Slow,Control,2.84
20,20,Fast,FES,6.2
21,21,Fast,FES,3.28
22,22,Fast,FES,2.28
23,23,Fast,FES,2.72
24,24,Fast,FES,1.98
25,25,Fast,FES,0.86
26,26,Fast,FES,1.78
27,27,Fast,FES,2.24
28,28,Fast,FES,1.92
29,29,Fast,FES,1.9
30,30,Slow,FES,4.18
31,31,Slow,FES,1.02
32,32,Slow,FES,1.2
33,33,Slow,FES,3.22
34,34,Slow,FES,2.26
35,35,Slow,FES,1.72
36,36,Slow,FES,2.26
37,37,Slow,FES,1.5
38,38,Slow,FES,1.36
39,39,Slow,FES,2.6
0,0,Fast,Control,10.38
1,1,Fast,Control,16.9
2,2,Fast,Control,1.64
3,3,Fast,Control,3.62
4,4,Fast,Control,3.82
5,5,Fast,Control,1.68
6,6,Fast,Control,6.8
7,7,Fast,Control,0.84
8,8,Fast,Control,1.32
9,9,Fast,Control,1.42
10,10,Slow,Control,1.18
11,11,Slow,Control,1.2
12,12,Slow,Control,2.34
13,13,Slow,Control,5.06
14,14,Slow,Control,3.86
15,15,Slow,Control,4.6
16,16,Slow,Control,1.76
17,17,Slow,Control,1.78
18,18,Slow,Control,2.28
19,19,Slow,Control,1.16
20,20,Fast,FES,1.4
21,21,Fast,FES,1.4
22,22,Fast,FES,3.22
23,23,Fast,FES,0.88
24,24,Fast,FES,2.58
25,25,Fast,FES,3.0
26,26,Fast,FES,2.72
27,27,Fast,FES,0.46
28,28,Fast,FES,2.0
29,29,Fast,FES,1.48
30,30,Slow,FES,12.0
31,31,Slow,FES,1.86
32,32,Slow,FES,2.06
33,33,Slow,FES,2.1
34,34,Slow,FES,0.78
35,35,Slow,FES,1.16
36,36,Slow,FES,0.92
37,37,Slow,FES,1.5
38,38,Slow,FES,0.9
39,39,Slow,FES,0.76
