,Speed,Stimulation,Reaction_time
0,Fast,Control,2.18
1,Fast,Control,2.54
2,Fast,Control,1.56
3,Fast,Control,2.86
4,Fast,Control,4.36
5,Fast,Control,1.52
6,Fast,Control,3.6
7,Fast,Control,2.3
8,Fast,Control,3.38
9,Fast,Control,5.08
10,Slow,Control,2.28
11,Slow,Control,1.7
12,Slow,Control,0.72
13,Slow,Control,0.76
14,Slow,Control,2.08
15,Slow,Control,1.0
16,Slow,Control,1.34
17,Slow,Control,0.86
18,Slow,Control,1.3
19,Slow,Control,1.36
20,Fast,FES,5.46
21,Fast,FES,4.66
22,Fast,FES,2.56
23,Fast,FES,5.2
24,Fast,FES,2.4
25,Fast,FES,2.8
26,Fast,FES,2.18
27,Fast,FES,3.96
28,Fast,FES,3.9
29,Fast,FES,4.9
30,Slow,FES,1.48
31,Slow,FES,1.94
32,Slow,FES,5.32
33,Slow,FES,4.7
34,Slow,FES,8.14
35,Slow,FES,2.96
36,Slow,FES,2.74
37,Slow,FES,10.42
38,Slow,FES,1.82
39,Slow,FES,1.68
